LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
201,100000,22,20,15,17.0,12.4,13.1,13.9,45479
202,100005,5,14,8,4.8,13.9,7.6,24.1,50487
202,100006,5,6,1,5.0,6.0,1.0,6.0,51752
202,100007,13,8,3,8.6,7.8,3.0,1.6,47288
202,134643,7,9,2,7.0,7.9,2.0,1.9,46127
202,136807,6,5,2,4.5,4.2,1.7,13.1,42033
202,139837,6,4,1,4.0,4.0,1.0,14.2,53618
202,100008,23,18,7,20.9,15.6,7.0,20.5,38771
202,100009,29,20,3,28.0,17.3,3.0,16.3,40910
202,100010,26,15,7,25.0,13.0,6.6,16.4,40347
202,100011,21,21,13,19.2,16.4,8.9,23.1,41792
202,100012,21,30,7,20.7,21.7,5.8,18.1,44139
202,100013,15,13,5,13.4,10.0,4.5,16.8,39910
202,100014,15,17,3,12.9,13.5,3.0,17.8,45608
202,100015,6,8,5,5.1,5.7,4.2,20.6,49078
202,100018,31,32,8,28.7,23.7,7.8,14.8,42333
202,100019,27,21,7,22.3,13.9,6.6,19.4,46248
202,100020,25,37,10,20.9,32.4,8.4,23.4,46153
202,100021,29,32,13,26.9,25.3,10.5,16.4,41734
202,100022,28,22,13,27.0,17.7,12.9,16.7,44429
202,100023,16,11,3,15.2,8.2,3.0,15.5,42486
202,100024,17,15,5,15.2,12.2,3.9,14.9,39961
202,100025,23,27,8,21.4,19.7,7.1,21.9,44872
202,100026,15,14,2,14.1,13.2,2.0,16.2,41609
202,100027,18,16,5,14.6,11.7,3.1,16.2,43561
202,130342,13,20,8,11.4,14.5,5.2,20.6,45953
202,132245,33,16,9,30.9,14.9,9.0,17.8,46628
202,100028,13,8,3,12.0,6.0,2.3,15.2,39460
202,100029,14,17,4,13.0,13.1,3.3,16.9,41610
202,100030,11,12,6,11.0,11.4,5.5,19.9,42331
202,100031,12,11,4,11.6,9.1,4.0,20.1,40678
202,100032,12,11,4,10.4,9.1,3.9,17.8,40822
202,100033,12,11,2,10.9,7.9,1.8,18.9,36637
202,100034,21,33,4,18.4,21.6,3.4,13.6,44962
202,100035,20,15,4,17.4,9.4,3.2,19.5,46693
202,100036,15,18,3,14.4,13.3,2.2,14.2,42978
202,100037,14,13,2,12.7,11.8,2.0,18.5,45305
202,100038,12,15,5,11.2,11.8,3.7,17.5,40644
202,100039,18,14,8,17.7,11.3,7.7,16.7,42771
202,100040,16,17,4,15.2,15.7,4.0,14.1,40801
202,100041,15,9,4,13.6,7.9,3.6,16.6,40444
202,100042,12,12,4,10.1,11.3,3.7,22.5,37007
202,100043,18,15,4,16.0,13.9,4.0,14.6,41378
202,100044,16,13,5,15.9,11.6,4.9,14.4,40777
202,100045,16,15,6,14.1,13.5,5.0,16.0,50783
202,100046,12,11,3,10.3,9.5,3.0,20.4,44279
202,100047,12,9,3,11.4,8.8,2.1,18.3,48275
202,100048,13,5,4,12.8,5.0,4.0,15.5,42133
202,137181,61,19,17,58.3,17.3,16.7,12.0,43571
202,141164,9,NA,1,8.0,NA,1.0,3.1,28400
202,100049,105,13,31,102.6,10.9,27.4,12.1,47743
202,100050,102,12,37,98.3,11.2,36.1,11.9,43595
202,100051,61,21,29,60.2,19.6,27.6,13.3,45686
202,100052,113,24,32,107.4,20.2,26.5,11.6,43037
202,100053,98,38,37,93.1,32.2,32.5,11.2,44920
202,100054,89,18,34,66.5,12.1,27.9,15.2,47729
202,100055,60,15,22,58.0,14.9,21.1,10.4,45144
202,100056,70,14,18,67.9,11.2,17.4,12.3,46885
202,100059,89,10,27,80.4,8.8,23.4,14.4,46531
202,100060,20,8,6,11.9,8.0,5.6,14.3,50775
202,100091,9,16,5,7.8,13.6,3.6,3.7,46143
202,100092,13,5,5,12.2,5.0,5.0,2.5,51917
202,100094,5,3,1,4.4,1.8,1.0,19.5,52555
